website_id,title,S_task_web,rank
2276,"মোহাম্মদ সাহাবুদ্দিন: ছাত্ররাজনীতিক থেকে বিচারক, দুদকের কমিশনার, তারপর রাষ্ট্রপতি পদে",20.0,1.0
1921,"মাঠ ঠিক নেই, ধর্মশালা থেকে সরে গেল ভারত-অস্ট্রেলিয়া টেস্ট",20.0,1.0
1921,আরেকটু সময় না পাওয়ার আক্ষেপ শামীমের,20.0,1.0
1921,নওগাঁয় বিএনপির পদযাত্রা ঘিরে সংঘর্ষের ঘটনায় ৩০ নেতা-কর্মীর নামে মামলা,20.0,1.0
1921,সম্পত্তির লোভে মুক্তিযোদ্ধা বাবাকে হত্যা করেন ছেলে,20.0,1.0
2276,ধর্মভিত্তিক রাজনীতির কাছে আত্মসমর্পণ করেছে সরকার: ওয়ার্কার্স পার্টি,20.0,1.0
2276,"সাত্তার ভূঁইয়া জীবনের শেষে এসে বুঝতে পেরেছেন, বাংলাদেশের উন্নয়ন আওয়ামী লীগ দিয়েই হয়: আইনমন্ত্রী",20.0,1.0
2276,মোহাম্মদ সাহাবুদ্দিনকে ‘মন থেকে’ অভিনন্দন জানালেন জি এম কাদের,20.0,1.0
2276,আওয়ামী লীগ দিশাহারা হয়ে বিশৃঙ্খলা করতে পাল্টা কর্মসূচি দিচ্ছে: বিএনপি,20.0,1.0
2281,"ওদের উদ্দেশ্য অসৎ, আমি মানসিকভাবে ভেঙে পড়েছি: প্রভা",18.97435897,10.0
2281,ছাত্রলীগের ২১ নেতাকর্মী বহিষ্কার,18.97435897,10.0
2281,হোটেল রিল্যাক্সে পূর্ণিমা,18.97435897,10.0
2281,পশ্চিমাদের আনুকূল্য ছাড়া অচল শি জিনপিং: রিপোর্ট,18.97435897,10.0
2281,ফিট থাকতে কী খাবেন?,18.97435897,10.0
2281,ভারতীয় দলে পক্ষপাতিত্বের অভিযোগ,18.97435897,10.0
2281,"ফের বিয়ে করবেন হার্দিক পান্ডিয়া, পাত্রী কে?",18.97435897,10.0
2281,ষষ্ঠ ও সপ্তম শ্রেণির সেই দুই বই না পড়ানোর নির্দেশ,18.97435897,10.0
2281,জবিতে নতুন তিন বিভাগের অনুমোদন,18.97435897,10.0
2281,"এবার কানাডার আকাশে 'রহস্যময় বস্তু', গুলির নির্দেশ!",18.97435897,10.0
2281,"ভূমিকম্পেও থেমে নেই লুটপাট, তুরস্কে গ্রেফতার ৪৮",18.97435897,10.0
2281,দক্ষিণ আফ্রিকায় র‌্যাপ সংগীতশিল্পীকে গুলি করে হত্যা,18.97435897,10.0
2281,অপহরণে অভিযুক্ত সেই অসিত পালকে বহিষ্কার করল ছাত্রলীগ,18.97435897,10.0
2281,কেন আমির খানকে কটাক্ষ করলেন এই অভিনেত্রী,18.97435897,10.0
2281,গুরুত্বপূর্ণ সফরে চীন যাচ্ছেন ইরানের প্রেসিডেন্ট,18.97435897,10.0
2281,ইরানি তরুণীকে ধর্ষণের অভিযোগ রাখির স্বামীর বিরুদ্ধে,18.97435897,10.0
2281,‘মলম বিতর্ক’ শাস্তি হলো ভারতীয় তারকার,18.97435897,10.0
2281,"ভারত সফরে অস্ট্রেলিয়ার ভরাডুবি, যা বললেন ভন",18.97435897,10.0
2281,আজ মুখোমুখি হচ্ছে চিরপ্রতিদ্বন্দ্বী ভারত-পাকিস্তান,18.97435897,10.0
2277,ফরচুন বরিশালকে বিদায় করে কোয়ালিফায়ারে রংপুর,18.46153846,29.0
2277,২৪ ঘণ্টায় ডেঙ্গু নিয়ে হাসপাতালে ভর্তি ১৪,18.46153846,29.0
2277,ঢাকায় লেবানন ভিসা আবেদন কেন্দ্র চালু,18.46153846,29.0
2277,১২ দাবিতে ইডেন কলেজ ছাত্রলীগের স্মারকলিপি,18.46153846,29.0
2277,জাবিতে গেস্টরুমে ৫ শিক্ষার্থীকে মারধর করল দুই ছাত্রলীগ,18.46153846,29.0
2277,"ভূমিকম্প: মৃতের সংখ্যা ২৮ হাজার ছাড়িয়েছে, তুরস্কে অস্থিরতায় উদ্ধার ব্যাহত",18.46153846,29.0
2277,রাষ্ট্রপতি পদের মনোনয়নপত্র নিয়ে নির্বাচন ভবনে আওয়ামী লীগের প্রতিনিধি দল,18.46153846,29.0
2277,মোস্তাফিজুর রহমান ফিজারই তাহলে পরবর্তী রাষ্ট্রপতি?,18.46153846,29.0
2277,অবসরের বয়সসীমা: ফ্রান্সে পুলিশের সঙ্গে আন্দোলনকারীদের সংঘর্ষ,18.46153846,29.0
2277,রাজধানীতে হত্যা ও অপহরণ মামলায় দুই পলাতক আসামি গ্রেপ্তার,18.46153846,29.0
2277,জবির সংগঠনগুলোকে সাংস্কৃতিক চর্চা বাড়াতে হবে: উপাচার্য,18.46153846,29.0
2277,ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,18.46153846,29.0
2277,"আমরা জনগণের শান্তির জন্য রাজপথে থাকি, শান্তি সমাবেশ করি: শেখ পরশ",18.46153846,29.0
2277,চোখের সমস্যায় ভুগছেন ঢাকার ২৪ শতাংশ মানুষ,18.46153846,29.0
2269,"ভূমিকম্পে বিপর্যস্ত তুরস্কে শীতের কাপড়, খাদ্য ও ওষুধ পাঠাবে ডিএনসিসি",17.94871795,43.0
2268,ছোট পর্দায় আজকের খেলা,16.92307692,44.0
2268,সহপাঠীদের ক্লাস বর্জন,16.92307692,44.0
2268,প্লে-অফ পর্বে দাম বাড়লো টিকিটের,16.92307692,44.0
2268,‘কাঁঠালবাড়ীতে আন্তর্জাতিক মানের বঙ্গবন্ধু কনভেনশন সেন্টার নির্মাণ করা হবে’,16.92307692,44.0
2268,ভারতের ৫৪ এলিজিবল ব্যাচেলরের নাম প্রকাশ,16.92307692,44.0
2268,পুলিশের বীরত্বে দুর্বার গতিতে এগিয়ে যাচ্ছে দেশ: স্বরাষ্ট্রমন্ত্রী,16.92307692,44.0
2268,‘সাকিবের মতো’ হতে চান লিন্ডে,16.92307692,44.0
2244,"

হিরোর হিরোইজমের পূর্বাপর
",16.41025641,51.0
2244,"

ভারতে ‘আপনি-তুই’ সম্বোধন নিয়ে সামাজিক যোগাযোগমাধ্যমে শোরগোল
",16.41025641,51.0
2244,"

তুরস্ক ও সিরিয়ায় ভূমিকম্প : নিহতের সংখ্যা ৩৪ হাজার ছাড়াল
",16.41025641,51.0
2244,"

পদযাত্রা কর্মসূচিতে অংশ নিতে জড়ো হচ্ছেন বিএনপি নেতাকর্মীরা
",16.41025641,51.0
2244,"

হৃদয় ছুঁয়ে যাওয়া আজারবাইজানের সেই যুবকের গল্প
",16.41025641,51.0
2244,"

বরিশালের বিপক্ষে ১৭১ রান করলেই কোয়ালিফায়ারে রংপুর
",16.41025641,51.0
2244,"

পূবালী ব্যাংকের বার্ষিক ব্যবস্থাপক সম্মেলন
",16.41025641,51.0
2244,"

আসিয়ান থেকে মিয়ানমারকে বাদ  দেয়া উচিত : আনোয়ার ইব্রাহিম
",16.41025641,51.0
2244,"

৪ শিক্ষার্থীকে পিটিয়ে মারাত্মক জখম ছাত্রলীগের, যা ঘটেছিল সে রাতে
",16.41025641,51.0
2244,"

বিএনপি-জামায়াত দেশে আবারো আগুন সন্ত্রাস শুরু করেছে : ওবায়দুল কাদের
",16.41025641,51.0
2244,"

পগবার ফেরা এখনো নিশ্চিত নয়
",16.41025641,51.0
2244,"

তুরস্কের ভূমিকম্প : ধ্বংসস্তূপের নিচ থেকে যেভাবে উদ্ধার করা হলো দু’বোনকে
",16.41025641,51.0
2244,"

ফ্রান্স জুড়ে বিক্ষোভ করেছে হাজার হাজার মানুষ
",16.41025641,51.0
2244,"

 একবার  ধর  বললে  চৌদ্দগোষ্ঠীর কেউ থাকতে পারবে  না : শামীম ওসমান 
",16.41025641,51.0
2244,"

গলাচিপায় ৫ দোকান পুড়ে ছাই, ২ কোটি টাকার ক্ষতি
",16.41025641,51.0
2244,"

আড়াইহাজারে সংঘর্ষের ঘটনায় বিএনপির ১২০ নেতাকর্মীর নামে মামলা
",16.41025641,51.0
2283,বিএনপি-জামায়াতের সন্ত্রাস-নৈরাজ্য প্রতিহত করা হবে: আমিনুল ইসলাম,15.8974359,67.0
2283,সুপারব্র্যান্ড অ্যাওয়ার্ড পেল ‘ফ্রেন্ডশিপ’,15.8974359,67.0
2283,জাতীয় বিজ্ঞান অলিম্পিয়াড ২০২৩’র পুরস্কার বিতরণ,15.8974359,67.0
2283,জ্ঞান অর্জনের জন্য প্রয়োজনে সুদূর চীনে যাও... যাবেন কীভাবে?,15.8974359,67.0
2283,"ভূমিকম্পে নিহত ২৮ হাজার, ধ্বংসস্তূপের নিচে বহু মানুষ",15.8974359,67.0
2283,গ্লোবাল ইসলামী ব্যাংকের ছয়টি উপশাখার উদ্বোধন,15.8974359,67.0
2283,আগামী নির্বাচনেও নৌকাকে বিজয়ী করতে হবে: মাশরাফি,15.8974359,67.0
2283,ফিডার রোড চালু হলে বদলে যাবে চট্টগ্রাম নগরী (ভিডিও),15.8974359,67.0
2283,ছোট্ট ঘর থেকে জ্ঞানের আলো ছড়াচ্ছে দশ হাজার বই,15.8974359,67.0
2283,ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,15.8974359,67.0
2283,নাইজারে সন্ত্রাসী হামলায় ১০ সেনা নিহত,15.8974359,67.0
2283,নেপাল-ভুটানসহ পাঁচ দেশে চালু হলো ভারতের ফোনপি,15.8974359,67.0
2283,"শিক্ষককে লাঞ্চিত করলেন ইউপি চেয়ারম্যান, প্রতিবাদে মানববন্ধন",15.8974359,67.0
2283,তুরস্ক ও সিরিয়ায় ভূমিকম্পে মৃতের সংখ্যা ৫০ হাজার ছাড়াবে: জাতিসংঘ,15.8974359,67.0
2283,কুমিল্লায় বিপুল পরিমাণ গাঁজা-বিদেশি মদসহ আটক ২,15.8974359,67.0
2283,"কানাডার আকাশেও রহস্যময় বস্তু, গুলিতে ভূপাতিত",15.8974359,67.0
2279,ভূমিকম্পের দেড়শ ঘণ্টা পর ধ্বংসস্তূপ থেকে উদ্ধার অনেকে,14.87179487,83.0
2279,লালমাই পাহাড় কাটা বিরত রাখার নির্দেশ হাইকোর্টের,14.87179487,83.0
2279,৫০ তালগাছে কীটনাশক প্রয়োগ: পরবর্তী শুনানি ও আদেশ ২৩ ফেব্রুয়ারি,14.87179487,83.0
2252,Two PWs testify in actor Sohel Chowdhury murder case,13.33333333,86.0
2252,President of Iran to visit China,13.33333333,86.0
2252,Coleman wins 60m crown at Millrose Games after Lyles DQ,13.33333333,86.0
2252,Cyprus rivals woo swing voters in presidential run-off,13.33333333,86.0
2270,বিমানবন্দর থানা এলাকা থেকে ৫ কেজি গাঁজাসহ গ্রেফতার ২,12.30769231,90.0
2270,হেরোইন ও ট্রাকসহ একজনকে গ্রেফতার করেছে ডিবি,12.30769231,90.0
2256,মির্জা ফখরুলকে পাকিস্তান চলে যেতে বললেন বঙ্গবীর কাদের সিদ্দিকী,6.666666667,92.0
2266,পঞ্চমবার ক্লাব বিশ্বকাপ শিরোপা জিতলো রিয়াল মাদ্রিদ,5.641025641,93.0
